FCLTY_NM,RDNMADR_NM,CTPRVN_CD,SIGNGU_CD,FCLTY_LO,FCLTY_LA,AREA_NM,HMPG_URL,HOTEL_GRAD_NO,TEL_NO,QESTN_ONE_NM,QESTN_TWO_NM,QESTN_THREE_NM,BASE_DE
DH 네상스 호텔,서울특별시 성북구 동소문로20나길 39 동선동 복합빌,11,11290,127.0975344,37.50601088,서울,www.dhnaissance.com,3급,02-921-2080,즐길거리제공여부,숙박요금,수영장유무,2020-12-31
ENA Suite 호텔,서울특별시 중구 세종대로11길 36,11,11140,126.9779682,37.56794579,서울,www.enahotel.co.kr,특2급,02-6020-7000,아침식사종류,즐길거리제공여부,객실종류,2020-12-31
GV 레지던스,서울특별시 용산구 이태원로15길 14-4,11,11170,126.9723221,37.54083968,서울,gv-residence.com,3급,02-797-5800,아침식사종류,숙박요금,체크인&체크아웃 시간,2020-12-31
KY 헤리티지 호텔,서울특별시 중구 장충단로 226,11,11140,127.0010497,37.55070257,서울,http://seouldongdaemun.splaisir.com,특2급,02-2198-1212,아침식사종류,객실종류,주차가능여부,2020-12-31
MS 호텔,부산광역시 해운대구 해운대해변로 271,26,26350,129.1646681,35.16144734,부산,mshotel.alltheway.kr,3급,051-741-3838,인기관광명소	편의시설유무	객실비품유무	내부레스토랑여부	주차가능여부,,,2020-12-31
SG 관광 호텔,인천광역시 서구 탁옥로51번길 13-9 SG관광호텔,28,28260,126.6743401,37.54503586,인천,sghotel.kr,3급,032-562-0512,숙박요금,주차가능여부,공항에서 이동방법,2020-12-31
가야 라트리 호텔,서울특별시 용산구 한강대로 253 가야라트리 호텔,11,11170,126.972141,37.54143935,서울,kayalatreehotel.com,3급,02-798-5101,객실종류,숙박요금,아침식사종류,2020-12-31
강남 아르누보 씨티,서울특별시 서초구 서초대로74길 49,11,11650,127.0187844,37.5938887,서울,www.gnanhotel.com,3급,02-580-7500,내부레스토랑여부,객실종류,체크인&체크아웃 시간,2020-12-31
강남 패밀리 호텔,서울특별시 강남구 봉은사로 143 운현오피스텔,11,11680,127.0452791,37.51034727,서울,www.gangnamfamilyhotel.com,3급,02-6474-1515,아침식사종류,내부레스토랑여부,숙박요금,2020-12-31
골드 리버 호텔,서울특별시 금천구 서부샛길 584,11,11545,127.0260734,37.57617521,서울,goldriverhotel.co.kr,3급,02-6021-8100,아침식사종류,내부레스토랑여부,객실종류,2020-12-31
골든 서울 호텔,서울특별시 강서구 공항대로 663,11,11500,126.8267215,37.56797554,서울,www.goldenseoul.com,특2급,02-3397-2000,즐길거리제공여부,주차가능여부,내부레스토랑여부,2020-12-31
골든 시티 호텔 동대문,서울특별시 동대문구 천호대로 377,11,11230,127.0616499,37.56229327,서울,,3급,02-3394-9601,숙박요금,즐길거리제공여부,내부레스토랑여부,2020-12-31
골든 튤립 엠 서울 호텔,서울특별시 중구 남대문로5길 15,11,11140,127.0028004,37.56589985,서울,http://www.splaisir.com,특2급,02-772-0900,내부레스토랑여부,즐길거리제공여부,체크인&체크아웃 시간,2020-12-31
골든비지니스호텔,경상남도 진주시 에나로 101,48,48170,129.2774041,35.85380414,경남,http://www.goldenbusinesshotel.com/,3급,055-756-0031,즐길거리제공여부,체크인&체크아웃 시간,내부레스토랑여부,2020-12-31
그리드 인 호텔,서울특별시 종로구 종로18길 9-6 GRID INN,11,11110,126.9787402,37.56207584,서울,www.gridinn.co.kr,3급,02-2265-2250,즐길거리제공여부,주차가능여부,내부레스토랑여부,2020-12-31
나이아가라 호텔,서울특별시 강서구 양천로 743 나이아가라호텔 B2,11,11500,126.8909588,37.47887671,서울,http://www.niagarahotel.co.kr,특2급,02-3663-7832,숙박요금,아침식사종류,체크인&체크아웃 시간,2020-12-31
나인 브릭 호텔,서울특별시 마포구 홍익로5길 32 나인브릭 호텔,11,11440,127.0180838,37.51856906,서울,9brickhotel.modoo.at,3급,02-3141-8800,아침식사종류,내부레스토랑여부,체크인&체크아웃 시간,2020-12-31
나인트리 프리미어 호텔 명동,서울특별시 중구 명동10길 51,11,11140,126.9856085,37.56429624,서울,www.ninetreehotel.com,특2급,02-750-0999,즐길거리제공여부,숙박요금,객실종류,2020-12-31
나인트리 호텔 인사동,서울특별시 종로구 인사동길 49,11,11110,126.991356,37.5696537,서울,http://www.ninetreehotels.com/nth3/,3급,02-6917-3099,객실종류,체크인&체크아웃 시간,숙박요금,2020-12-31
녹스 부띠끄 호텔,서울특별시 강남구 테헤란로37길 13-13,11,11680,127.015583,37.64757519,서울,noxhotel.modoo.at,3급,02-3454-1888,체크인&체크아웃 시간,숙박요금,아침식사종류,2020-12-31
농심호텔,부산광역시 동래구 금강공원로20번길 23 호텔농심,26,26260,129.0544056,35.15614938,부산,www.hotelnongshim.com,특1급,051-550-2100,아침식사종류,숙박요금,즐길거리제공여부,2020-12-31
뉴 국제 호텔,서울특별시 중구 세종대로22길 12 뉴국제호텔,11,11140,127.0077614,37.56471734,서울,www.newkukjehotel.com,1급,02-732-0161,숙박요금,주차가능여부,공항에서 이동방법,2020-12-31
뉴브 호텔,서울특별시 강남구 선릉로85길 6,11,11680,127.0568837,37.5214138,서울,www.newvhotel.com,3급,02-740-5000,숙박요금,즐길거리제공여부,아침식사종류,2020-12-31
뉴오리엔탈 호텔,서울특별시 중구 퇴계로14길 1 뉴오리엔탈호텔,11,11140,127.0355001,37.26476754,서울,www.orientalmyeongdong.com,3급,02-753-0701,내부레스토랑여부,아침식사종류,체크인&체크아웃 시간,2020-12-31
뉴욕 호텔 영등포,서울특별시 영등포구 영등포로46길 7-5,11,11560,126.9906997,37.53474953,서울,,3급,02-2069-0903,즐길거리제공여부,주차가능여부,내부레스토랑여부,2020-12-31
더 리버사이드 호텔,서울특별시 서초구 강남대로107길 6 리버사이드호텔,11,11650,127.0281382,37.49341445,서울,www.riversidehotel.co.kr,특2급,02-6710-1100,공항에서 이동방법,객실종류,체크인&체크아웃 시간,2020-12-31
더 리센츠 동대문 호텔,서울특별시 동대문구 천호대로 383,11,11230,126.9132915,37.56390818,서울,therecenzhotel.com,3급,02-3390-7000,객실종류,체크인&체크아웃 시간,숙박요금,2020-12-31
더 스토리 레지던스 평창,강원도 평창군 봉평면 안흥동1길 25-5,42,42760,128.3179084,37.58871323,강원,http://www.pyeongchangstory.com/,3급,033-334-2200,주요 인근 관광명소,편의시설유무,내부레스토랑여부,2020-12-31
더 프린스 호텔,인천광역시 중구 을왕로58번길 5,28,28110,126.3715088,37.44941327,인천,www.theprincehotel.co.kr,3급,032-746-7007,내부레스토랑여부,아침식사종류,체크인&체크아웃 시간,2020-12-31
더베이 게스트하우스,부산광역시 해운대구 구남로41번길 19-1,26,26350,129.1328184,35.16781115,부산,thebay.kr,3급,010-5142-6541,공항에서 이동방법,객실종류,주차가능여부,2020-12-31
더스테이트 선유,서울특별시 영등포구 양평로 132,11,11560,126.9081506,37.51860456,서울,www.thestatehotel.co.kr,특2급,02-2632-9000,숙박요금,주차가능여부,공항에서 이동방법,2020-12-31
데이즈 호텔 제주 서귀포 오션,제주특별자치도 서귀포시 동홍로 7,50,50130,126.5674246,33.24938412,제주,http://www.dayshoteljejudo.com/,3급,064-802-7700,숙박요금,공항에서 이동방법,주차가능여부,2020-12-31
디아티스트 호텔 동선,서울특별시 성북구 동소문로 126,11,11290,127.0185519,37.59271709,서울,theartist.modoo.at,3급,02-921-9901,즐길거리제공여부,주차가능여부,내부레스토랑여부,2020-12-31
디아티스트 호텔 역삼,서울특별시 강남구 테헤란로29길 11,11,11680,127.0397436,37.50269917,서울,theartisthotel.modoo.at,3급,02-569-4920,주차가능여부,즐길거리제공여부,내부레스토랑여부,2020-12-31
딜라이트 호텔,서울특별시 송파구 오금로11길 21-9 HOTEL DELIGHT,11,11710,126.8933689,37.53851356,서울,delighthotel.modoo.at,3급,02-414-1263,내부레스토랑여부,체크인&체크아웃 시간,숙박요금,2020-12-31
라마다 강원 태백 호텔 앤 리조트,강원도 태백시 태백산로 4839,42,42190,128.9689526,37.13214971,강원,http://www.gangwonramada.com/,1급,033-554-1301,공항에서 이동방법,체크인&체크아웃 시간,주차가능여부,2020-12-31
라마다 서울 동대문,서울특별시 중구 동호로 354,11,11140,127.0026697,37.56649761,서울,www.ramadaddm.com,1급,02-2276-3500,즐길거리제공여부,숙박요금,객실종류,2020-12-31
라마다 서울 호텔,서울특별시 강남구 봉은사로 410 로비층,11,11680,127.049108,37.50302489,서울,www.ramadaseoul.co.kr/cafe-stasio,특2급,02-6202-2031,내부레스토랑여부,즐길거리제공여부,주차가능여부,2020-12-31
라마다 송도 호텔,인천광역시 연수구 능허대로267번길 29,28,28185,126.6553568,37.41420561,인천,www.ramada-songdo.co.kr,특2급,032-832-2000,주차가능여부,체크인&체크아웃 시간,내부레스토랑여부,2020-12-31
라마다 앙코르 마곡,서울특별시 강서구 마곡중앙로 161-11 힐스테이트에코마곡나루역라마다앙코르서울,11,11500,126.8786284,37.5491934,서울,www.ramadaencore-seoulmagok.com,3급,02-2161-9000,즐길거리제공여부,주차가능여부,내부레스토랑여부,2020-12-31
라마다 앙코르 서울 동대문,서울특별시 동대문구 왕산로 22,11,11230,127.0609901,37.56233706,서울,http://www.ramadaencoreseouldongdaemun.com/KR/Main,3급,02-2116-6000,객실종류,아침식사종류,숙박요금,2020-12-31
라마다 인천 호텔,인천광역시 남동구 소래역로 36,28,28200,126.735463,37.40031436,인천,www.ramadaincheonhotel.com,특2급,032-460-1100,내부레스토랑여부,아침식사종류,체크인&체크아웃 시간,2020-12-31
라마다 제주 서귀포 호텔,제주특별자치도 서귀포시 서호중로 55,50,50130,126.519265,33.25447711,제주,http://www.ramadaencoreeast.com/,3급,064-735-2200,내부레스토랑여부,아침식사종류,체크인&체크아웃 시간,2020-12-31
라마다 제주 함덕 호텔 1차,제주특별자치도 제주시 조천읍 신북로 470,50,50110,126.6598736,33.54315038,제주,https://www.ramadaencorejejuseogwipo.com/,3급,064-735-2000,주차가능여부,체크인&체크아웃 시간,내부레스토랑여부,2020-12-31
라마다 평택 호텔,경기도 평택시 포승읍 평택항로184번길 3-24,41,41220,127.0795522,37.21851128,경기,http://www.ramadapyeongtaek.com,특2급,031-220-7800,체크인&체크아웃 시간,객실종류,아침식사종류,2020-12-31
라비타 호텔,서울특별시 강남구 영동대로 712,11,11680,127.0339172,37.49879931,서울,http://lavitahotelseoul.com,3급,02-545-0015,체크인&체크아웃 시간,숙박요금,공항에서 이동방법,2020-12-31
레인보우 호텔,서울특별시 용산구 한강대로71길 48 레인보우호텔,11,11170,126.9835525,37.57446681,서울,www.yongsan-rainbowhotel.com,3급,02-792-9994,숙박요금,주차가능여부,공항에서 이동방법,2020-12-31
렉시 호텔,서울특별시 강남구 테헤란로16길 11,11,11680,127.0384818,37.5024013,서울,lexyhotel.modoo.at,3급,02-554-4250,체크인&체크아웃 시간,아침식사종류,객실종류,2020-12-31
로사나 부띠끄 호텔,서울특별시 송파구 삼학사로 98 로사나관광호텔,11,11710,127.1093104,37.51538733,서울,www.rosanahotel.co.kr,3급,02-2143-3000,아침식사종류,공항에서 이동방법,숙박요금,2020-12-31
로얄 엠포리움 호텔,인천광역시 중구 중산동 1951-5,28,28110,126.578421,37.49179203,인천,www.royalemporium.co.kr,3급,032-752-5996,즐길거리제공여부,숙박요금,수영장유무,2020-12-31
